fold,model,scenario,k,status,train_expected_risk,cutpoints,weeks,counts,repeat,scale
0,q2,step_only,4,bootstrap_conditional,0.16519206334038622,"[28.821843131379502, 30.3017749204332, 32.9759465231214]","[12.857142857142858, 12.857142857142858, 25.0, 25.0]","[25, 58, 102, 82]",0,0.0
0,q2,low_delay,4,bootstrap_conditional,0.19308227872889322,"[28.821843131379502, 29.9478781980224, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 44, 173, 25]",0,0.0
0,q2,medium_delay,4,bootstrap_conditional,0.21077069086055955,"[29.10705821745655, 31.269159645000002, 33.0606690944397]","[11.0, 11.0, 11.0, 11.0]","[36, 95, 59, 77]",0,0.0
0,q2,high_delay,4,bootstrap_conditional,0.21077069086055955,"[29.10705821745655, 31.269159645000002, 33.0606690944397]","[11.0, 11.0, 11.0, 11.0]","[36, 95, 59, 77]",0,0.0
0,q3_basic,step_only,4,bootstrap_conditional,0.16528315048827488,"[29.37857702, 30.201034931504502, 31.145124715]","[12.857142857142858, 25.0, 12.857142857142858, 25.0]","[51, 30, 41, 145]",0,0.0
0,q3_basic,low_delay,4,bootstrap_conditional,0.19254078411322773,"[28.821843131379502, 29.89542649103325, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 43, 174, 25]",0,0.0
0,q3_basic,medium_delay,4,bootstrap_conditional,0.21055900715534065,"[28.821843131379502, 29.398260685, 30.435518495]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 38, 176]",0,0.0
0,q3_basic,high_delay,4,bootstrap_conditional,0.21055900715534065,"[28.821843131379502, 29.398260685, 30.435518495]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 38, 176]",0,0.0
0,q2,step_only,4,bootstrap_conditional,0.1695464736806619,"[28.821843131379502, 29.37857702, 30.84796485]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 26, 64, 152]",0,0.5
0,q2,low_delay,4,bootstrap_conditional,0.19338705123150568,"[28.821843131379502, 29.37857702, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 26, 191, 25]",0,0.5
0,q2,medium_delay,4,bootstrap_conditional,0.20760422421033423,"[28.821843131379502, 29.398260685, 30.3017749204332]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 30, 184]",0,0.5
0,q2,high_delay,4,bootstrap_conditional,0.20760422421033423,"[28.821843131379502, 29.398260685, 30.3017749204332]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 30, 184]",0,0.5
0,q3_basic,step_only,4,bootstrap_conditional,0.16957279686422216,"[29.02420649077765, 30.435518495, 31.4872464292182]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[30, 61, 45, 131]",0,0.5
0,q3_basic,low_delay,4,bootstrap_conditional,0.1930258763346914,"[29.0455820628869, 33.9632508881169, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[31, 183, 28, 25]",0,0.5
